id,word-1,word-2,word-3,word-4,word-5,word-6,word-7,word-8,word-9,word-10,word-11,word-12,word-13,word-14,word-15,word-16,word-17,word-18,word-19,word-20,word-21,word-22,word-23,word-24,word-25,word-26,word-27,word-28,word-29,word-30,word-31,word-32,word-33,word-34,word-35,word-36,word-37,word-38,word-39,word-40,Result
39,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,3,0,0,1,1,0,0,0,0,0,4,0,0,2,0,0,1,1,0,0,1,0,0
40,4,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,0,0,3,0,0,0,1,0,0,0,3,0,1,0,0,1,2,0,0,0,0,2,0,1,0
41,3,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,1
42,27,1,0,4,5,0,0,2,2,1,0,0,1,1,3,0,1,0,16,0,0,3,2,1,0,0,0,1,7,0,0,0,1,0,1,0,0,0,0,1,0
43,40,1,0,2,8,3,2,2,2,9,4,1,0,5,8,1,1,1,33,4,4,10,2,1,6,0,1,0,14,1,0,0,5,1,6,1,1,2,1,2,0
44,65,3,2,1,26,14,2,5,5,9,0,5,2,9,11,0,6,4,72,1,3,8,9,18,5,4,2,4,13,3,5,2,5,3,12,7,12,6,1,5,1
45,43,2,2,2,4,2,5,5,3,5,3,2,0,2,11,0,1,1,36,0,0,14,5,5,3,1,5,0,11,2,1,1,10,1,4,0,4,3,2,2,0
46,15,0,0,2,0,0,0,2,1,1,,0,2,2,1,0,0,0,13,1,0,1,1,2,1,0,3,0,7,0,0,0,0,0,`3,0,0,1,1,0,0
47,146,6,7,9,15,2,2,6,20,7,1,5,3,4,12,3,6,0,100,2,3,22,12,8,3,0,3,3,27,1,4,8,4,0,6,7,8,10,7,4,1
48,26,0,0,1,4,1,1,2,1,0,1,0,0,4,0,0,3,1,19,0,0,2,6,3,4,2,2,0,5,0,2,0,0,1,4,2,0,0,0,1,0
49,14,0,0,0,3,1,2,1,1,0,0,0,0,2,2,1,0,0,15,0,2,8,1,2,1,0,0,3,2,1,0,0,0,0,1,0,3,2,3,4,1
50,115,3,5,1,20,8,2,12,8,`10,1,1,4,,20,4,8,7,110,2,2,28,16,10,,1,7,8,37,7,4,6,18,7,13,3,9,5,1,7,1
51,13,1,0,0,4,3,0,0,1,1,1,0,3,0,1,0,1,0,8,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1
52,48,0,2,1,8,0,0,4,6,3,2,1,2,0,5,2,3,2,30,3,0,3,7,7,0,0,0,0,1,0,0,2,3,1,2,2,1,1,0,2,1
53,12,0,0,3,5,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0
54,56,0,2,0,10,1,3,4,9,4,1,0,0,10,12,2,1,1,55,1,1,16,9,7,5,0,6,4,12,2,3,3,8,1,7,3,3,6,2,7,0
55,5,0,0,0,0,0,0,1,2,0,0,0,0,2,2,0,0,0,2,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0
56,23,1,0,0,5,2,0,3,5,1,0,0,0,2,6,0,0,0,10,0,0,3,2,0,0,0,4,0,5,1,0,0,3,0,0,1,2,1,1,1,0
57,35,1,0,0,9,3,1,5,5,0,1,0,1,1,5,0,1,0,25,0,2,8,2,4,1,0,3,2,9,0,0,0,5,0,3,1,0,2,1,1,0
58,12,0,0,4,2,0,0,1,1,1,0,0,0,1,2,0,1,0,11,0,0,2,2,0,2,0,0,0,6,0,0,0,1,0,3,0,0,0,1,0,0
59,92,0,5,1,27,1,7,,18,0,0,5,2,4,26,3,5,2,77,2,2,11,9,,9,1,3,1,21,2,1,1,24,2,15,1,11,5,1,4,0
60,20,1,0,0,2,0,0,2,0,2,0,0,0,0,1,1,1,1,15,0,0,0,3,0,1,0,1,0,2,1,0,0,0,1,7,2,2,1,0,1,0
61,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,19,0,0,3,0,0,0,3,1,1,2,0,3,3,1,0,0,0,17,1,0,1,2,3,2,0,3,0,9,0,0,0,0,0,3,0,0,1,1,0,0
63,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,245,11,4,13,31,11,6,38,36,17,6,1,2,12,48,5,12,5,153,4,10,35,15,10,27,13,13,19,30,4,0,1,40,5,19,2,6,14,9,3,0
65,97,3,6,1,6,3,2,3,23,6,1,2,3,2,16,0,0,0,73,1,4,12,7,6,7,5,0,8,28,8,3,3,16,0,13,2,8,2,3,5,0
66,19,0,0,1,2,0,2,4,1,1,1,0,0,1,5,0,0,0,5,0,0,0,0,1,3,0,0,3,0,0,0,1,5,0,3,1,0,1,0,0,0
67,42,0,0,8,5,2,2,4,1,2,4,1,0,2,6,2,3,3,25,0,0,3,8,0,4,0,3,2,4,1,1,0,3,3,2,2,1,0,1,1,1
68,97,0,5,8,18,5,1,7,6,,4,1,1,4,22,2,0,0,63,1,2,24,9,0,,0,1,4,15,1,5,0,16,0,,0,2,5,1,2,0
69,16,0,0,0,2,2,3,3,1,1,0,0,0,1,3,0,1,0,8,0,0,0,0,1,,0,1,4,2,1,0,2,2,0,0,1,1,1,0,1,1
70,19,1,0,0,3,2,0,1,2,3,2,1,1,2,3,2,0,0,10,1,0,2,2,0,0,0,2,0,3,0,0,2,3,0,0,0,0,0,1,0,0
71,102,4,3,0,19,4,3,4,8,5,5,1,4,8,8,0,4,2,80,1,3,16,4,15,5,4,0,2,16,0,2,2,7,2,13,0,6,5,0,2,0
72,97,2,3,3,16,6,0,8,4,3,6,3,2,1,12,2,1,1,73,1,2,18,4,4,3,0,0,0,17,1,2,4,8,1,16,2,7,3,1,1,0
73,355,19,1,7,88,39,3,45,48,6,11,6,3,21,46,9,5,2,342,8,2,94,44,32,50,38,5,14,104,1,18,8,33,0,24,8,6,17,21,0,0
74,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,17,0,0,2,4,4,3,0,2,0,4,0,0,0,0,0,0,0,9,0,0,2,0,0,1,0,0,4,1,0,1,3,0,0,1,0,0,1,0,0,1
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,95,6,1,6,16,12,4,8,8,7,0,1,1,4,22,0,4,2,51,3,1,11,4,4,8,0,7,5,7,2,0,5,15,2,15,1,3,5,11,3,0
78,139,6,4,2,29,13,6,8,,1,3,5,0,4,21,0,0,0,108,7,3,26,8,10,14,1,6,7,23,10,6,6,`18,0,17,3,15,10,0,18,0
79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
80,125,8,1,19,16,10,8,4,18,17,5,5,3,17,42,2,20,10,138,1,1,44,17,15,23,3,2,11,27,11,8,17,39,10,38,1,11,8,1,22,0
81,26,1,0,4,3,0,1,1,2,0,0,0,0,3,1,0,3,0,18,1,1,1,3,1,4,0,1,0,6,0,1,2,0,0,1,0,0,0,0,0,0
82,28,1,2,1,2,2,2,2,3,4,1,0,0,1,5,1,3,2,30,1,2,4,5,2,1,0,3,2,6,1,1,2,3,2,4,2,1,1,0,2,0
83,21,0,0,0,,1,0,0,2,1,2,0,0,2,3,0,3,2,16,1,1,0,4,2,3,0,1,0,5,0,0,0,3,2,4,0,0,1,0,1,0
84,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,1
85,97,4,1,3,17,11,5,8,16,6,3,1,3,7,23,1,9,3,77,6,0,20,8,10,9,0,3,5,14,7,3,1,12,0,12,2,14,3,3,5,1
86,69,2,1,4,11,3,5,5,8,8,0,0,1,6,14,1,1,1,42,0,2,6,2,4,9,0,4,5,18,2,0,4,10,1,6,0,3,0,0,6,0
87,41,2,2,1,7,5,0,1,9,4,3,3,2,2,8,3,5,2,25,1,0,7,4,4,1,0,0,4,12,0,1,1,5,2,6,0,4,3,4,3,0
88,15,0,0,2,0,0,1,1,1,2,3,0,2,1,0,0,2,2,12,1,1,0,3,1,5,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0
89,198,16,7,0,30,9,0,6,35,10,1,6,2,0,63,6,7,4,179,1,8,51,18,19,5,0,12,17,33,5,23,0,56,3,35,4,7,13,2,3,0
90,135,0,0,3,28,1,0,8,10,8,5,6,8,6,16,6,7,4,98,4,2,13,16,13,17,2,9,0,41,0,1,3,10,4,16,1,0,10,3,2,0
91,25,1,0,1,0,0,1,4,3,0,0,2,1,0,6,2,1,0,13,0,0,3,1,3,3,0,1,0,5,0,0,3,2,0,2,0,0,2,3,0,1
92,27,2,0,0,4,1,0,3,5,1,0,0,0,2,3,0,1,1,18,0,0,3,6,2,2,0,0,1,5,3,1,0,3,1,2,0,5,3,0,1,1
93,20,3,0,1,4,2,1,0,0,1,0,0,0,0,7,2,0,0,22,0,1,7,3,2,6,0,3,0,2,0,0,0,4,0,1,1,0,2,0,2,0
94,76,0,1,8,16,4,1,8,14,5,3,2,1,3,13,4,6,5,64,3,2,7,9,5,10,2,4,2,7,1,1,2,8,3,5,8,4,5,0,2,1
95,5,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,2,0,7,0,0,2,0,1,3,0,0,1,1,0,0,1,1,0,3,0,0,0,0,3,1
96,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
97,51,1,4,6,10,2,0,5,4,4,0,0,0,4,7,3,4,4,37,2,0,4,7,5,1,1,1,5,5,6,2,2,6,4,8,2,6,1,3,10,1
98,10,0,1,0,4,2,0,2,1,0,0,1,0,0,4,0,1,0,13,1,2,4,1,1,3,0,3,1,1,0,1,1,2,0,2,0,0,0,0,1,0
99,69,3,2,2,10,4,2,1,3,5,4,0,1,3,12,1,5,2,71,3,0,12,13,3,5,1,2,9,9,6,2,6,11,2,11,2,9,2,3,8,1
100,64,6,1,12,15,1,0,1,9,4,,2,1,1,7,1,1,1,40,4,1,7,2,3,15,1,1,0,12,1,0,1,6,1,6,,1,1,2,0,0
101,134,3,3,3,40,18,0,12,16,4,2,0,5,14,24,1,6,1,132,13,0,33,11,10,23,8,1,16,22,0,4,3,19,1,15,2,0,5,11,0,0
102,16,3,0,1,4,1,0,1,1,4,0,4,1,0,3,1,0,0,20,1,0,4,2,2,1,0,0,5,0,0,2,3,3,0,3,0,0,1,1,1,1
103,8,1,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,109,1,5,1,27,8,10,12,9,9,11,3,2,2,28,9,14,10,104,7,3,24,18,9,9,0,5,3,16,1,3,3,18,10,11,2,3,5,7,2,0
105,22,0,2,1,2,1,1,0,0,0,0,0,1,1,1,1,1,0,10,0,0,3,1,1,2,0,2,0,2,0,0,1,0,0,1,0,0,1,2,0,1
106,34,0,2,4,6,2,1,5,4,0,0,0,1,2,15,6,4,3,30,1,0,9,6,2,14,0,3,2,8,2,5,4,6,2,8,0,2,3,3,4,0
107,54,5,2,0,16,4,2,5,8,2,3,0,2,1,8,2,2,1,61,1,3,20,1,7,12,3,4,4,7,5,2,4,8,1,11,7,13,9,3,3,1
108,49,0,0,0,6,1,0,3,1,1,1,1,1,0,5,1,3,0,44,0,5,3,0,5,4,2,3,1,14,1,0,1,3,0,0,3,2,2,1,4,1
109,20,0,1,0,4,2,2,4,3,1,1,0,1,2,7,1,0,0,9,0,1,2,0,1,5,0,1,1,0,1,0,0,7,0,0,0,3,0,2,2,0
110,20,2,0,2,3,1,4,1,1,1,2,0,0,0,1,0,4,0,22,0,2,9,0,1,3,0,2,1,4,3,0,1,0,0,1,0,3,0,3,4,0
111,17,1,1,1,2,0,0,1,3,3,4,1,0,1,6,1,4,1,22,1,0,8,1,1,3,1,3,3,3,1,1,1,5,1,3,3,1,1,1,2,0
112,28,0,0,2,1,0,0,4,4,1,1,0,1,0,5,2,2,1,26,0,1,7,4,2,1,0,2,0,6,0,1,1,2,0,4,0,1,1,1,0,1
113,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
114,6,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,5,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
115,14,1,1,0,2,1,1,4,2,2,1,2,0,1,3,1,2,2,13,1,0,3,5,2,4,0,1,2,4,3,0,1,2,2,3,0,4,1,2,4,0
116,19,2,0,0,4,1,1,0,1,2,0,6,1,1,5,2,1,1,25,0,1,7,2,6,1,0,1,6,1,1,0,4,3,1,7,0,3,0,0,7,1
117,15,1,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,22,0,0,5,2,2,2,0,3,0,7,0,0,0,0,0,2,0,1,1,0,0,1
118,56,3,4,2,3,1,2,3,9,0,0,1,3,3,5,2,4,1,57,3,1,11,3,7,1,0,2,4,10,1,2,1,2,1,4,1,6,1,7,3,1
119,27,1,0,1,4,0,0,1,2,2,0,1,0,0,2,0,2,0,30,0,0,9,2,1,3,1,0,0,5,0,0,0,0,0,1,0,2,0,0,0,1
120,64,2,3,,7,2,1,4,4,1,3,1,0,1,15,5,5,4,45,1,,9,10,4,2,1,5,5,6,0,3,1,3,4,9,2,0,2,1,1,1
121,6,0,1,0,0,0,1,0,2,0,1,0,0,1,2,0,1,1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,0,0,1,2,0,0
122,98,3,1,2,19,5,0,3,13,4,1,2,5,3,17,1,2,0,110,3,3,21,4,12,5,1,4,2,18,1,1,2,13,0,9,3,1,4,2,1,1
123,35,1,0,0,3,1,3,3,4,0,3,0,0,0,7,1,0,0,28,0,1,4,4,4,4,2,4,3,6,3,3,4,3,0,3,0,5,0,3,2,1
124,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,23,1,0,0,6,0,0,1,4,3,2,1,0,0,3,0,0,0,7,1,0,4,1,0,4,0,3,1,2,0,0,1,3,0,2,0,1,3,0,0,0
126,32,0,0,2,6,3,0,4,7,1,1,0,1,0,4,1,2,0,29,1,1,6,2,3,3,2,1,0,9,2,2,0,3,0,2,2,5,1,2,4,1
127,39,2,0,1,4,1,1,1,4,2,1,0,1,2,4,0,2,1,33,1,0,5,8,2,4,1,1,8,5,3,2,8,4,1,4,1,3,0,2,5,1
128,98,0,0,6,5,2,1,2,12,4,13,1,1,3,15,5,4,2,53,7,0,12,10,10,5,2,2,3,20,3,1,2,9,2,13,0,8,0,5,1,0
129,80,2,0,4,17,1,4,3,3,2,8,3,0,11,10,1,1,1,52,4,0,9,9,6,15,0,1,1,12,0,0,1,7,1,14,1,1,0,5,4,0
130,39,3,0,0,8,4,0,5,8,0,2,1,0,5,8,1,1,1,29,2,3,5,3,1,2,0,5,0,7,0,1,3,7,1,4,0,0,4,0,7,0
131,14,0,0,1,0,0,0,2,1,1,1,0,2,2,2,0,0,0,16,1,0,2,1,3,1,0,4,0,8,0,0,0,1,0,3,0,0,1,1,0,0
132,20,0,0,5,0,0,0,2,1,1,2,0,2,2,1,0,0,0,15,1,0,1,1,2,1,0,3,0,7,3,0,0,0,0,6,0,3,1,4,0,0
133,8,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,1,1,0,3,1,1,0,0,1,0
134,15,0,0,1,0,0,0,1,1,1,2,0,1,2,1,0,0,0,10,1,0,1,1,1,1,0,3,0,8,0,0,0,0,0,3,0,0,1,1,0,0
135,22,1,0,1,2,0,0,1,2,1,1,0,1,1,2,1,2,0,26,1,1,6,4,3,0,0,0,1,3,1,0,1,0,0,4,0,1,1,1,2,1
136,28,0,1,0,7,4,0,9,2,2,1,0,0,2,2,0,0,0,16,5,1,6,1,1,2,0,2,0,4,1,1,1,2,0,3,0,1,0,2,3,0
137,21,0,0,1,4,2,0,0,3,3,0,0,1,0,2,0,0,0,12,1,1,1,0,0,1,0,1,2,5,0,0,1,2,0,3,0,0,0,0,1,0
138,4,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,2,0,0,0,1,0,1,0,2,0,0,2,0,2,1,0,1,0,2,0,0,0,0
139,77,4,2,0,18,6,1,,6,7,1,0,1,2,13,1,2,1,52,0,5,11,6,7,7,1,2,1,,0,5,0,9,1,5,3,4,1,2,0,0
140,38,0,1,0,4,1,3,3,7,5,5,0,1,4,11,2,1,0,21,0,2,1,2,1,11,1,1,2,5,1,1,1,9,0,6,0,1,1,1,3,0
141,34,1,0,2,7,2,0,0,4,4,1,0,1,2,11,1,1,1,37,0,0,7,8,3,3,0,3,0,11,0,0,2,5,1,4,2,0,1,0,0,1
142,35,0,0,3,7,1,0,4,5,2,2,0,0,1,1,0,2,0,13,0,0,7,2,2,3,0,2,0,4,1,0,1,1,0,5,2,1,0,1,0,0
143,29,0,2,0,3,2,0,10,2,1,5,0,0,1,3,0,0,0,9,0,1,3,0,3,4,0,0,1,0,2,0,0,3,0,0,0,2,0,0,2,0
144,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
146,,22,8,28,84,9,8,28,71,24,11,25,9,2,29,9,20,1,412,13,8,81,41,44,31,,20,3,87,4,5,10,5,0,44,21,33,37,4,0,1
147,38,0,0,1,9,5,0,1,3,3,0,0,1,0,3,2,1,0,36,1,1,7,5,2,1,0,2,2,5,0,0,1,1,0,2,1,1,3,1,0,1
148,16,3,1,0,2,0,0,1,2,1,1,0,0,2,0,0,1,1,18,2,2,3,1,2,3,0,0,1,6,0,0,0,0,1,1,3,0,0,0,0,0
149,15,0,1,0,1,1,0,2,5,2,0,0,1,0,2,1,0,0,14,0,0,2,0,6,1,0,0,2,4,1,0,1,2,0,3,0,3,1,2,1,1
150,43,1,2,0,13,5,0,5,10,0,1,1,1,4,19,4,2,1,24,1,0,6,5,4,7,0,6,2,6,0,1,0,15,1,7,0,1,0,6,3,0
151,41,2,1,0,8,3,0,3,5,3,1,0,0,0,9,0,0,0,22,0,0,5,1,3,5,1,0,0,8,0,0,0,8,0,6,2,1,5,2,0,0
152,58,6,1,5,12,4,1,4,4,3,5,3,1,0,12,2,4,0,39,1,1,7,6,2,7,0,2,2,5,0,1,1,8,0,3,1,1,0,3,2,1
153,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
154,14,1,0,1,1,1,2,0,1,1,0,2,1,1,1,0,2,0,13,0,0,3,0,2,1,0,0,6,3,0,2,3,0,0,1,0,0,1,1,1,1
155,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
156,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
157,215,8,3,6,33,18,10,11,11,23,7,6,21,9,24,11,13,9,184,2,10,28,21,27,12,4,11,14,34,10,2,6,18,9,18,20,23,15,6,23,0
158,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
159,7,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
160,101,2,3,5,26,11,4,10,11,3,8,2,1,6,16,3,15,8,69,1,3,25,11,8,13,3,8,5,15,2,1,2,13,8,11,10,3,1,6,7,0
161,156,0,11,11,22,8,5,10,22,10,5,2,10,8,16,1,6,3,104,4,2,14,9,19,26,1,6,0,49,0,0,2,11,3,16,1,0,8,3,4,0
162,91,4,3,2,25,8,5,5,11,10,1,1,0,4,15,1,3,2,93,1,2,33,10,13,10,7,2,6,19,8,0,1,13,2,12,6,9,1,5,11,0
163,10,1,0,0,1,0,0,0,0,1,0,1,0,1,2,1,1,1,16,1,0,4,2,3,1,0,0,0,1,3,0,1,1,1,3,1,3,0,1,1,1
