Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
01 01 2018 04:10,1724.48803710937,8.37616157531738,1752.19966204818,252.41259765625
01 01 2018 04:20,1636.93505859375,8.23695755004882,1668.47070685152,247.979400634765
01 01 2018 04:30,1385.48803710937,7.87959098815917,1461.81579081391,238.609603881835
01 01 2018 04:40,1098.93200683593,7.10137605667114,1062.28503444311,245.095596313476
01 01 2018 04:50,1021.4580078125,6.95530700683593,995.995854606612,245.410202026367
01 01 2018 05:00,1164.89294433593,7.09829807281494,1060.85971215544,235.227905273437
01 01 2018 05:10,1073.33203125,6.95363092422485,995.250960801046,242.872695922851
01 01 2018 05:20,1165.30798339843,7.24957799911499,1132.4168612641,244.835693359375
01 01 2018 05:30,1177.98999023437,7.29469108581542,1154.36530469206,242.48159790039
01 01 2018 05:40,1170.53601074218,7.37636995315551,1194.8430985043,247.97720336914
01 01 2018 05:50,1145.53601074218,7.44855403900146,1231.43070603717,249.682998657226
01 01 2018 06:00,1114.02697753906,7.2392520904541,1127.43320551345,248.401000976562
01 01 2018 06:10,1153.18505859375,7.32921123504638,1171.35504358957,244.621704101562
01 01 2018 06:20,1125.3310546875,7.13970518112182,1080.13908466205,244.631805419921
01 01 2018 06:30,1228.73205566406,7.47422885894775,1244.63353439737,245.785995483398
01 01 2018 06:40,1021.79302978515,7.03317403793334,1030.99268581181,248.652206420898
01 01 2018 06:50,957.378173828125,6.88645505905151,965.683334443832,244.611694335937
01 01 2018 07:00,909.887817382812,6.88782119750976,966.279104864065,235.84829711914
01 01 2018 07:10,1000.95397949218,7.21643209457397,1116.4718990154,232.842697143554
01 01 2018 07:20,1024.47802734375,7.0685977935791,1047.17023059277,229.933197021484
01 01 2018 07:30,1009.53399658203,6.93829584121704,988.451940715539,230.13670349121
01 01 2018 07:40,899.492980957031,6.53668785095214,820.416658585943,234.933807373046
01 01 2018 07:50,725.110107421875,6.18062496185302,686.636942163399,232.837905883789
01 01 2018 08:00,585.259399414062,5.81682586669921,564.927659543473,240.328796386718
01 01 2018 08:10,443.913909912109,5.45015096664428,454.773587146918,238.12629699707
01 01 2018 08:20,565.253784179687,5.81814908981323,565.349093224668,235.80029296875
01 01 2018 08:30,644.037780761718,6.13027286529541,668.823569309414,224.958694458007
01 01 2018 08:40,712.058898925781,6.34707784652709,747.460673422601,216.803894042968
01 01 2018 08:50,737.394775390625,6.34743690490722,747.595109122642,205.785293579101
01 01 2018 09:00,725.868103027343,6.19436883926391,691.546334303948,199.848495483398
01 01 2018 09:10,408.997406005859,4.97719812393188,330.417630427964,207.997802734375
01 01 2018 09:20,628.436828613281,5.95911121368408,611.283836510667,210.954895019531
01 01 2018 09:30,716.1005859375,6.21137619018554,697.649474372052,215.69400024414
01 01 2018 09:40,711.49560546875,6.11145305633544,662.235163012206,220.84260559082
01 01 2018 09:50,838.151916503906,6.45632219314575,789.011422412419,237.065307617187
01 01 2018 10:00,881.062072753906,6.66665792465209,872.739625855708,235.667495727539
01 01 2018 10:10,663.703125,6.16287899017333,680.327891653483,229.329696655273
01 01 2018 10:20,578.261596679687,6.01316785812377,628.442560754699,234.900604248046
01 01 2018 10:30,465.620086669921,5.56120300292968,486.779567601972,230.422805786132
01 01 2018 10:40,311.050903320312,4.96073198318481,326.411025380213,229.537506103515
01 01 2018 10:50,230.05549621582,4.60387516021728,244.31624421611,231.79849243164
01 01 2018 11:00,233.990600585937,4.55453395843505,233.632780531927,234.105606079101
01 01 2018 11:10,175.592193603515,4.26362895965576,173.573663122312,228.776702880859
01 01 2018 11:20,118.133102416992,3.89413905143737,108.571221110423,227.938995361328
01 01 2018 11:30,142.202499389648,4.03876113891601,130.229989593698,224.46499633789
01 01 2018 11:40,212.566192626953,4.50565099716186,223.196784083793,224.950500488281
01 01 2018 11:50,222.610000610351,4.54339790344238,231.242507343633,229.12759399414
01 01 2018 12:00,194.181198120117,4.32376098632812,185.598479588255,227.039993286132
01 01 2018 12:10,82.6407470703125,3.63443708419799,68.5028197987886,230.31460571289
01 01 2018 12:20,75.8952178955078,3.70551204681396,78.3961653540173,233.953292846679
01 01 2018 12:30,41.9472389221191,3.25396800041198,29.2869556318446,233.06590270996
01 01 2018 12:40,118.534599304199,3.77513694763183,88.8713653309387,227.753494262695
01 01 2018 12:50,250.755905151367,4.69350099563598,264.119257409418,229.896606445312
01 01 2018 13:00,346.86441040039,5.00293922424316,336.721998240131,235.279495239257
01 01 2018 13:10,416.417907714843,5.36474990844726,430.92108895689,235.585296630859
01 01 2018 13:20,331.941497802734,5.01618194580078,339.984940156412,229.942901611328
01 01 2018 13:30,583.479919433593,5.97040796279907,615.05563084927,235.69529724121
01 01 2018 13:40,776.552673339843,6.6555209159851,868.180844867276,241.457397460937
01 01 2018 13:50,752.726379394531,6.60090398788452,846.029409522117,242.782104492187
01 01 2018 14:00,589.073120117187,5.98137807846069,618.731442665699,234.984405517578
01 01 2018 14:10,1109.12805175781,7.42459392547607,1219.19978672882,235.14729309082
01 01 2018 14:20,1482.4599609375,8.18645191192626,1638.50890923271,238.479095458984
01 01 2018 14:30,1523.43005371093,8.27493000030517,1691.1470390233,237.033203125
01 01 2018 14:40,1572.17004394531,8.44920253753662,1796.76309010091,238.332397460937
01 01 2018 14:50,1698.93994140625,8.5759744644165,1875.04719734159,235.641403198242
01 01 2018 15:00,1616.84594726562,8.28225994110107,1695.53877696245,236.461395263671
01 01 2018 15:10,1796.82397460937,8.73455238342285,1974.47580025242,234.354797363281
01 01 2018 15:20,1885.86096191406,8.76410388946533,1993.17071186444,231.001602172851
01 01 2018 15:30,2327.51196289062,9.66943168640136,2568.82712862015,227.60009765625
01 01 2018 15:40,2499.162109375,10.1410903930664,2876.75361614448,227.73159790039
01 01 2018 15:50,2820.51293945312,10.7724199295043,3186.02988321436,225.276397705078
01 01 2018 16:00,2812.27905273437,10.6475200653076,3133.25922420184,224.680603027343
01 01 2018 16:10,2530.44702148437,9.98266124725341,2781.27404078649,225.519500732421
01 01 2018 16:20,2399.12109375,9.87438583374023,2711.49245838958,227.273803710937
01 01 2018 16:30,2335.587890625,9.78547954559326,2651.34100928894,229.255493164062
01 01 2018 16:40,2341.13305664062,9.61423206329345,2527.94545109623,230.736892700195
01 01 2018 16:50,2391.84790039062,9.61850452423095,2531.14793986697,229.490798950195
01 01 2018 17:00,2118.38989257812,9.09868335723876,2207.79281988587,223.960906982421
01 01 2018 17:10,1866.84594726562,8.67742538452148,1938.47860120954,219.793701171875
01 01 2018 17:20,1865.61901855468,8.77489852905273,2000.01171622122,219.04490661621
01 01 2018 17:30,1862.44799804687,8.68998146057128,1946.37395530494,215.335205078125
01 01 2018 17:40,1884.11901855468,8.63107395172119,1909.41625571088,216.279998779296
01 01 2018 17:50,1855.77697753906,8.61456966400146,1899.10073381649,214.529098510742
01 01 2018 18:00,1958.13305664062,9.218843460083,2285.9170315439,212.179901123046
01 01 2018 18:10,2228.24291992187,10.0495195388793,2822.50948979838,210.30859375
01 01 2018 18:20,2529.291015625,10.3187103271484,2974.86679599312,210.588104248046
01 01 2018 18:30,2788.25708007812,10.7667598724365,3183.72245968391,207.481399536132
01 01 2018 18:40,2692.92993164062,10.558250427246,3093.1106721875,208.551895141601
01 01 2018 18:50,2535.35302734375,10.2507200241088,2938.39460689531,208.010696411132
01 01 2018 19:00,2584.6650390625,10.4647703170776,3048.82383278559,205.752899169921
01 01 2018 19:10,2960.18310546875,11.3907804489135,3393.64554116411,200.654296875
01 01 2018 19:20,3062.97802734375,11.5655403137207,3437.59713457272,198.124298095703
01 01 2018 19:30,3024.39208984375,11.280249595642,3362.66874184888,198.538192749023
01 01 2018 19:40,3187.97290039062,11.3367795944213,3378.82627083958,200.490402221679
01 01 2018 19:50,3387.22802734375,11.8046398162841,3488.24849124087,199.24690246582
01 01 2018 20:00,3209.01806640625,11.3635396957397,3386.24448582472,199.80549621582
01 01 2018 20:10,3272.6650390625,11.6325902938842,3452.88110782365,198.267700195312
01 01 2018 20:20,3209.69897460937,11.4447603225708,3407.86787605817,195.632003784179
01 01 2018 20:30,3134.51806640625,11.2719001770019,3360.22577475203,196.661102294921
01 01 2018 20:40,2977.82495117187,11.0590095520019,3292.88092490873,196.515899658203
01 01 2018 20:50,3431.77294921875,12.1037797927856,3537.17370631569,198.257003784179
01 01 2018 21:00,3604.2099609375,12.9281396865844,3597.46946747004,201.582595825195
01 01 2018 21:10,3601.32788085937,13.3194198608398,3600,201.942199707031
01 01 2018 21:20,3604.42602539062,13.1215200424194,3600,203.50779724121
01 01 2018 21:30,3604.39111328125,13.2354497909545,3600,202.692993164062
01 01 2018 21:40,3604.337890625,13.2358999252319,3600,202.936294555664
01 01 2018 21:50,3554.68798828125,13.0295600891113,3600,201.25390625
01 01 2018 22:00,3479.40795898437,12.963939666748,3597.79463518254,201.340896606445
01 01 2018 22:10,3472.3330078125,12.9029502868652,3597.13105990188,200.979507446289
01 01 2018 22:20,3491.51098632812,12.7663402557373,3593.70494203457,200.996002197265
01 01 2018 22:30,3536.98901367187,12.8983497619628,3597.0594486071,200.514205932617
01 01 2018 22:40,3528.65893554687,12.7421102523803,3592.81431300069,202.895294189453
01 01 2018 22:50,3581.5400390625,12.318260192871,3562.99009479352,202.841094970703
01 01 2018 23:00,3570.0791015625,12.418809890747,3572.55614292551,202.411804199218
01 01 2018 23:10,3597.60400390625,12.5429897308349,3582.20464281071,201.625305175781
01 01 2018 23:20,3441.02587890625,12.6759996414184,3589.94563404896,199.32209777832
01 01 2018 23:30,3373.96997070312,13.0030498504638,3600,197.130706787109
01 01 2018 23:40,3369.81298828125,13.2976703643798,3600,196.493606567382
01 01 2018 23:50,3375.90307617187,12.8440599441528,3595.98479162144,195.315002441406
02 01 2018 00:00,3377.64990234375,12.7053899765014,3591.30046108295,196.042205810546
02 01 2018 00:10,3374.42309570312,12.1833600997924,3547.62765509484,197.743896484375
02 01 2018 00:20,3401.0810546875,12.2051401138305,3550.30722235787,196.808807373046
02 01 2018 00:30,3469.412109375,12.6018800735473,3585.95918141078,193.815704345703
02 01 2018 00:40,3511.80908203125,12.8445501327514,3595.9963935586,194.346603393554
02 01 2018 00:50,3536.75903320312,12.4970598220825,3578.91155469034,196.009201049804
02 01 2018 01:00,3467.80810546875,12.0960702896118,3536.10513948266,197.952697753906
02 01 2018 01:10,3460.67700195312,12.1961202621459,3549.20691711024,201.330307006835
02 01 2018 01:20,3589.44311523437,12.5503501892089,3582.70255395235,201.188201904296
02 01 2018 01:30,3527.71899414062,12.6156702041625,3586.76296687567,202.623596191406
02 01 2018 01:40,3561.26708984375,13.102780342102,3600,201.7666015625
02 01 2018 01:50,3604.06811523437,13.6877498626708,3600,199.019500732421
02 01 2018 02:00,3604.17602539062,14.1024198532104,3600,196.25520324707
02 01 2018 02:10,3593.20092773437,14.3933095932006,3600,195.879898071289
02 01 2018 02:20,3493.82104492187,14.0795497894287,3600,197.640304565429
02 01 2018 02:30,3470.70190429687,14.0544004440307,3600,197.244796752929
02 01 2018 02:40,3436.61010742187,13.5124702453613,3600,195.995407104492
02 01 2018 02:50,3401.455078125,13.7100496292114,3600,192.419799804687
02 01 2018 03:00,3395.23291015625,13.7423295974731,3600,191.013702392578
02 01 2018 03:10,3417.50390625,13.1418600082397,3600,192.204696655273
02 01 2018 03:20,3465.10888671875,12.8677101135253,3596.50506006828,192.771697998046
02 01 2018 03:30,3467.41796875,12.8472700119018,3596.06013842223,192.470504760742
02 01 2018 03:40,3522.40698242187,12.7321100234985,3592.42166638681,192.567901611328
02 01 2018 03:50,3510.10791015625,12.5162000656127,3580.32294087044,194.999206542968
02 01 2018 04:00,3513.84497070312,12.5986604690551,3585.76741417889,196.042297363281
02 01 2018 04:10,3564.00805664062,13.2303199768066,3600,196.408798217773
02 01 2018 04:20,3475.27807617187,13.0946702957153,3600,198.524993896484
02 01 2018 04:30,3561.99096679687,12.9168796539306,3597.32940721254,198.010101318359
02 01 2018 04:40,3521.55493164062,12.6335496902465,3587.76274105689,197.663497924804
02 01 2018 04:50,3493.60791015625,12.8256702423095,3595.52445712704,201.104095458984
02 01 2018 05:00,3555.30493164062,12.5416202545166,3582.11109582746,200.363403320312
02 01 2018 05:10,3377.1279296875,12.1049699783325,3537.33778647827,196.982696533203
02 01 2018 05:20,3479.626953125,12.3625001907348,3567.3947065774,199.798995971679
02 01 2018 05:30,3539.11206054687,12.6039104461669,3586.07931541404,201.270294189453
02 01 2018 05:40,3430.43603515625,12.2122201919555,3551.16161586499,198.984603881835
02 01 2018 05:50,3301.91796875,11.9876203536987,3520.01183131278,202.571197509765
02 01 2018 06:00,3235.5439453125,11.6793298721313,3463.03160296846,200.703506469726
02 01 2018 06:10,3519.02294921875,12.4697198867797,3576.79825403164,197.873397827148
02 01 2018 06:20,3469.537109375,12.4948997497558,3578.74875641323,201.101104736328
02 01 2018 06:30,3296.18603515625,11.7898302078247,3485.41764275903,200.35659790039
02 01 2018 06:40,3045.51000976562,10.9035501480102,3237.31495707518,199.462905883789
02 01 2018 06:50,3444.74194335937,12.1880798339843,3548.2148951824,202.746002197265
02 01 2018 07:00,3417.74609375,11.9781303405761,3518.50824711723,199.402206420898
02 01 2018 07:10,2807.61303710937,10.6744699478149,3144.97729527041,197.229705810546
02 01 2018 07:20,2493.39306640625,9.69664669036865,2588.59195963497,200.319198608398
02 01 2018 07:30,3215.19604492187,11.4175901412963,3400.7825082287,200.488204956054
02 01 2018 07:40,3589.59008789062,12.6892700195312,3590.57317508054,199.528106689453
02 01 2018 07:50,3599.14990234375,13.0586004257202,3600,200.607803344726
02 01 2018 08:00,3375.17700195312,11.5208196640014,3426.92247226978,195.854705810546
02 01 2018 08:10,3346.98095703125,11.5123100280761,3424.84718980505,197.746704101562
02 01 2018 08:20,3567.96704101562,12.4162998199462,3572.33660315256,199.163803100585
02 01 2018 08:30,3519.26489257812,12.1601495742797,3544.6866079077,198.396896362304
02 01 2018 08:40,3485.19189453125,11.6710796356201,3461.26966600913,194.656997680664
02 01 2018 08:50,3145.56298828125,11.1458597183227,3321.54569566872,195.83250427246
02 01 2018 09:00,2978.31005859375,10.7728996276855,3186.225079135,193.17039489746
02 01 2018 09:10,3179.00805664062,10.929759979248,3247.07461994401,195.099700927734
02 01 2018 09:20,3461.5810546875,12.1400604248046,3542.06950150575,198.294799804687
02 01 2018 09:30,3082.54907226562,11.1955604553222,3337.20522482988,200.757003784179
02 01 2018 09:40,3493.65795898437,12.9486904144287,3597.67844568445,204.080596923828
02 01 2018 09:50,3601.0458984375,14.8794298171997,3600,197.594299316406
02 01 2018 10:00,3597.56494140625,15.124059677124,3600,196.345596313476
02 01 2018 10:10,3602.17211914062,16.2936706542968,3600,196.836700439453
02 01 2018 10:20,3601.99291992187,16.1239795684814,3600,192.230606079101
02 01 2018 10:30,3600.791015625,15.2746000289916,3600,190.949295043945
02 01 2018 10:40,3590.75,13.56672000885,3600,192.945602416992
02 01 2018 10:50,3601.84594726562,15.3677997589111,3600,194.752807617187
02 01 2018 11:00,3601.8701171875,15.8617496490478,3600,195.040298461914
02 01 2018 11:10,3591.65502929687,14.9205102920532,3600,197.989593505859
02 01 2018 11:20,3579.02490234375,13.6085300445556,3600,201.494506835937
02 01 2018 11:30,3598.13110351562,14.4638595581054,3600,200.488403320312
02 01 2018 11:40,3525.3330078125,12.6882896423339,3590.52770532539,202.225997924804
02 01 2018 11:50,3560.69995117187,13.556900024414,3600,202.153594970703
02 01 2018 12:00,3537.67602539062,13.3228101730346,3600,203.289398193359
02 01 2018 12:10,3491.291015625,12.6070098876953,3586.26151221851,201.093704223632
02 01 2018 12:20,3530.76611328125,12.3147602081298,3562.62840432461,197.54409790039
02 01 2018 12:30,2915.83911132812,10.3801898956298,3006.71766997446,200.919799804687
02 01 2018 12:40,2178.65893554687,9.11702919006347,2219.69198514598,201.024505615234
02 01 2018 12:50,2244.412109375,9.25319099426269,2308.32252649044,198.975997924804
02 01 2018 13:00,1278.89501953125,9.0723066329956,2190.70476314143,198.236404418945
02 01 2018 13:10,2832.93408203125,10.344630241394,2988.42459866748,196.647201538085
02 01 2018 13:20,3205.97290039062,11.1033096313476,3307.71074030315,200.146499633789
02 01 2018 13:30,3149.28491210937,11.069109916687,3296.30064173281,198.89680480957
02 01 2018 13:40,3273.65600585937,11.325810432434,3375.74290100659,201.144607543945
02 01 2018 13:50,3114.09912109375,11.0151395797729,3277.76115213776,204.927200317382
02 01 2018 14:00,3111.06005859375,10.907259941101,3238.7061584522,204.81379699707
02 01 2018 14:10,3361.01196289062,11.7694101333618,3481.44923036851,209.778594970703
02 01 2018 14:20,3421.419921875,11.8748302459716,3501.13034592277,209.600601196289
02 01 2018 14:30,3520.14892578125,12.1692600250244,3545.851554985,208.318099975585
02 01 2018 14:40,3589.42700195312,12.8206195831298,3595.38946602459,211.18179321289
02 01 2018 14:50,3495.11596679687,12.5716199874877,3584.0953070974,209.464706420898
02 01 2018 15:00,3298.76196289062,11.399299621582,3395.92916518786,205.625
02 01 2018 15:10,2894.44091796875,10.5454301834106,3087.17433373743,200.610702514648
02 01 2018 15:20,3486.62890625,12.3093299865722,3562.06338880745,202.056198120117
02 01 2018 15:30,3455.2470703125,12.1683197021484,3545.73194798009,203.720703125
02 01 2018 15:40,3556.78588867187,12.2870798110961,3559.69920327527,204.608596801757
02 01 2018 15:50,3375.58203125,12.0131902694702,3523.98620914655,201.741500854492
02 01 2018 16:00,3493.97900390625,12.2135295867919,3551.31873448443,201.715606689453
02 01 2018 16:10,3549.14794921875,12.9377403259277,3597.57459015449,199.968505859375
02 01 2018 16:20,3483.31591796875,13.6694202423095,3600,203.870697021484
02 01 2018 16:30,3589.85888671875,13.6978597640991,3600,204.802307128906
02 01 2018 16:40,3584.23510742187,12.7583599090576,3593.42108884215,202.650802612304
02 01 2018 16:50,3599.00805664062,12.7651796340942,3593.66423795296,201.257095336914
02 01 2018 17:00,3602.63793945312,13.0772199630737,3600,203.440704345703
02 01 2018 17:10,3550.56396484375,12.593409538269,3585.45131707174,205.153503417968
02 01 2018 17:20,3552.78295898437,12.5136699676513,3580.13958133505,205.008193969726
02 01 2018 17:30,3585.01098632812,12.534399986267,3581.61318305151,204.120300292968
02 01 2018 17:40,3421.17602539062,11.9644298553466,3516.31020021473,201.998901367187
02 01 2018 17:50,3406.0400390625,11.9457702636718,3513.26434859883,194.378692626953
02 01 2018 18:00,3515.61010742187,12.2070798873901,3550.54211738128,189.523803710937
02 01 2018 18:10,3515.96508789062,12.2751502990722,3558.39906800035,190.579498291015
02 01 2018 18:20,3475.4189453125,12.7226400375366,3592.03630693273,187.612503051757
02 01 2018 18:30,3471.15698242187,12.2653703689575,3557.31619028323,189.437194824218
02 01 2018 18:40,3281.7548828125,11.7036895751953,3468.15991321422,192.261901855468
02 01 2018 18:50,2955.11499023437,10.9635295867919,3259.41290546653,190.457199096679
02 01 2018 19:00,3061.73510742187,11.2979698181152,3367.8051386683,192.858200073242
02 01 2018 19:10,2679.11010742187,10.6659498214721,3141.29261131238,194.084396362304
02 01 2018 19:20,2721.0810546875,10.8332901000976,3210.35060075426,195.201797485351
02 01 2018 19:30,2649.13696289062,10.5783700942993,3102.33999824069,195.343200683593
02 01 2018 19:40,2707.74291992187,10.3885402679443,3010.96227906629,201.797698974609
02 01 2018 19:50,2508.83203125,10.0804195404052,2841.09942231867,204.207397460937
02 01 2018 20:00,2316.64794921875,9.83873844146728,2687.68808162899,199.747406005859
02 01 2018 20:10,3081.54296875,11.4399995803833,3406.63706435351,200.240295410156
02 01 2018 20:20,3397.63891601562,11.9440298080444,3512.97717205074,201.166397094726
02 01 2018 20:30,3391.71606445312,11.8592901229858,3498.35399407939,201.71060180664
02 01 2018 20:40,3587.51098632812,12.8114795684814,3595.1357821697,201.348495483398
02 01 2018 20:50,3603.11206054687,12.9135398864746,3597.28438052126,201.676895141601
02 01 2018 21:00,3591.09301757812,12.7283201217651,3592.26902604332,202.413299560546
02 01 2018 21:10,3221.044921875,11.6635799407958,3459.65697188092,202.661895751953
02 01 2018 21:20,2887.73388671875,11.095230102539,3305.03861196709,204.061203002929
02 01 2018 21:30,2364.53491210937,10.1609497070312,2888.1834694536,203.337905883789
02 01 2018 21:40,1935.84704589843,9.20241546630859,2275.21144803516,197.801300048828
02 01 2018 21:50,1549.48095703125,8.53928470611572,1852.27385123011,195.506103515625
02 01 2018 22:00,1625.75598144531,8.80914115905761,2021.75423914516,187.484603881835
02 01 2018 22:10,1994.22204589843,9.60846042633056,2523.60897951622,188.023895263671
02 01 2018 22:20,2362,9.84492397308349,2691.84853250982,190.660400390625
02 01 2018 22:30,2097.77197265625,9.33867073059082,2364.19874342852,196.733596801757
02 01 2018 22:40,1564.59094238281,8.42491626739501,1781.89987727917,197.015899658203
02 01 2018 22:50,1107.47497558593,7.65623378753662,1339.71394884899,188.690399169921
02 01 2018 23:00,1303.11694335937,8.14458179473876,1613.84771310931,181.659606933593
02 01 2018 23:10,1561.18200683593,8.54713726043701,1857.14017452757,173.536697387695
02 01 2018 23:20,1544.9990234375,8.38180446624755,1755.62759790948,171.383407592773
02 01 2018 23:30,1456.73803710937,7.85044908523559,1445.55353367836,179.819793701171
02 01 2018 23:40,1795.64404296875,8.65655136108398,1925.37408203171,188.238296508789
02 01 2018 23:50,2773.291015625,10.9231195449829,3244.61717448122,179.039093017578
03 01 2018 00:00,2782.56811523437,10.405119895935,3019.33269562616,176.925598144531
03 01 2018 00:10,2446.42407226562,9.49813079833984,2468.76137810731,174.677001953125
03 01 2018 00:20,3412.39208984375,11.9302501678466,3510.68492806304,180.672500610351
03 01 2018 00:30,3255.337890625,11.0762901306152,3298.71779163661,183.875503540039
03 01 2018 00:40,2796.876953125,10.4578800201416,3045.46680084979,192.191101074218
03 01 2018 00:50,2467.9541015625,9.79114913940429,2655.25524050058,197.104598999023
03 01 2018 01:00,1278.88696289062,7.62648677825927,1323.91105222754,202.940505981445
03 01 2018 01:10,1042.53796386718,7.28763580322265,1150.913827836,207.387100219726
03 01 2018 01:20,609.076171875,6.22820901870727,703.72052690461,216.998901367187
03 01 2018 01:30,175.440704345703,4.47162199020385,216.017072278726,222.509094238281
03 01 2018 01:40,112.110900878906,4.12782907485961,147.104139625711,215.451400756835
03 01 2018 01:50,271.917114257812,5.03284406661987,344.109478420821,202.510299682617
03 01 2018 02:00,737.448791503906,6.26704502105712,717.843498117624,211.200302124023
03 01 2018 02:10,1375.57995605468,7.76333713531494,1397.52318976882,193.610702514648
03 01 2018 02:20,1520.89001464843,8.21955204010009,1658.11911213164,172.135498046875
03 01 2018 02:30,1349.11206054687,7.9748888015747,1515.64947499497,168.356903076171
03 01 2018 02:40,889.129821777343,6.79436492919921,926.044480629263,171.129501342773
03 01 2018 02:50,412.115509033203,5.53610801696777,479.44724074806,162.703796386718
03 01 2018 03:00,444.603607177734,5.49171495437622,466.619713732775,150.281692504882
03 01 2018 03:10,655.730712890625,6.07675409317016,650.187022962429,149.640899658203
03 01 2018 03:20,882.5654296875,6.69093894958496,882.728232489512,152.222503662109
03 01 2018 03:30,998.384582519531,6.84801197052001,949.011611320787,157.164306640625
03 01 2018 03:40,1193.39599609375,7.75938415527343,1395.36478692565,152.69970703125
03 01 2018 03:50,1122.71203613281,7.41762685775756,1215.65950886484,152.07600402832
03 01 2018 04:00,1214.1259765625,7.4722261428833,1243.60005403349,154.783798217773
03 01 2018 04:10,1086.30700683593,7.0807728767395,1052.76802727855,160.218307495117
03 01 2018 04:20,1060.60302734375,7.05372190475463,1040.356846593,165.815399169921
03 01 2018 04:30,1451.71398925781,7.76631498336791,1399.15038161011,170.844497680664
03 01 2018 04:40,1361.4599609375,7.8332462310791,1435.99887801734,173.024093627929
03 01 2018 04:50,1490.56994628906,7.95930099487304,1506.77685258253,173.97639465332
03 01 2018 05:00,1153.13903808593,7.28374290466308,1149.01242363998,176.793197631835
03 01 2018 05:10,953.976013183593,7.00125217437744,1016.55258240585,178.093002319335
03 01 2018 05:20,799.085693359375,6.75813579559326,910.72825461627,174.033004760742
03 01 2018 05:30,616.254821777343,6.17999219894409,686.411402678963,167.996002197265
03 01 2018 05:40,646.924499511718,6.30171918869018,730.590170586589,168.81199645996
03 01 2018 05:50,1323.68200683593,7.51777696609497,1267.13496891123,184.701797485351
03 01 2018 06:00,1568.88598632812,8.09420299530029,1584.39555144266,194.009292602539
03 01 2018 06:10,1580.90295410156,7.85495376586914,1448.06104925975,197.801498413085
03 01 2018 06:20,1495.18005371093,7.71946811676025,1373.67507597197,191.208694458007
03 01 2018 06:30,2063.86889648437,8.84790134429931,2046.43894595384,195.063903808593
03 01 2018 06:40,2368.76000976562,9.63101959228515,2540.49173140429,198.07470703125
03 01 2018 06:50,2516.419921875,9.76766490936279,2638.97173094385,191.838500976562
03 01 2018 07:00,2108.77099609375,9.18500423431396,2263.87309482431,190.007003784179
03 01 2018 07:10,2568.11108398437,9.92765045166015,2746.29034022315,179.322692871093
03 01 2018 07:20,3445.21997070312,12.0327596664428,3526.95250748549,175.935501098632
03 01 2018 07:30,2994.10693359375,10.8730897903442,3225.76917411555,180.75830078125
03 01 2018 07:40,2594.93701171875,10.3806104660034,3006.93191470242,177.421203613281
03 01 2018 07:50,2326.82592773437,10.3430204391479,2987.58808341987,164.631393432617
03 01 2018 08:00,1941.46398925781,9.28379154205322,2328.30752557584,157.365997314453
03 01 2018 08:10,1581.48706054687,8.2639513015747,1684.57783763609,151.177703857421
03 01 2018 08:20,1013.28698730468,7.16107702255249,1090.17934367785,144.42300415039
03 01 2018 08:30,375.617614746093,5.50215196609497,469.619164434996,145.331802368164
